# Section,X,Y,Y.local,Y.global,Krum,N,healthy,dis,HH.plants,MS.plants,prop.dis,prop.fem,H.flowers,D.flowers
LLL,0,0,0,0,80,0,0,0,0,0,0,0,0,0
LLL,1,0,0,0,100,0,0,0,0,0,0,0,0,0
LLL,2,0,0,0,100,0,0,0,0,0,0,0,0,0
LLL,3,0,0,0,100,0,0,0,0,0,0,0,0,0
LLL,4,0,0,0,95,0,0,0,0,0,0,0,0,0
LLL,5,0,0,0,100,0,0,0,0,0,0,0,0,0
LLL,6,0,0,0,100,0,0,0,0,0,0,0,0,0
LLL,7,0,0,0,100,0,0,0,0,0,0,0,0,0
LLL,8,0,0,0,100,0,0,0,0,0,0,0,0,0
LLL,9,0,0,0,100,0,0,0,0,0,0,0,0,0
LLL,0,0,1,1,100,0,0,0,0,0,0,0,0,0
LLL,1,0,1,1,100,0,0,0,0,0,0,0,0,0
LLL,2,0,1,1,100,0,0,0,0,0,0,0,0,0
LLL,3,0,1,1,100,0,0,0,0,0,0,0,0,0
LLL,4,0,1,1,90,2,1,1,0,1,0.5,1,4,1
LLL,5,0,1,1,100,0,0,0,0,0,0,0,0,0
LLL,6,0,1,1,100,0,0,0,0,0,0,0,0,0
LLL,7,0,1,1,100,0,0,0,0,0,0,0,0,0
LLL,8,0,1,1,100,0,0,0,0,0,0,0,0,0
LLL,9,0,1,1,100,0,0,0,0,0,0,0,0,0
LLL,0,0,2,2,85,0,0,0,0,0,0,0,0,0
LLL,1,0,2,2,60,0,0,0,0,0,0,0,0,0
LLL,2,0,2,2,100,0,0,0,0,0,0,0,0,0
LLL,3,0,2,2,100,0,0,0,0,0,0,0,0,0
LLL,4,0,2,2,90,0,0,0,0,0,0,0,0,0
LLL,5,0,2,2,100,0,0,0,0,0,0,0,0,0
LLL,6,0,2,2,100,0,0,0,0,0,0,0,0,0
LLL,7,0,2,2,100,0,0,0,0,0,0,0,0,0
LLL,8,0,2,2,100,0,0,0,0,0,0,0,0,0
LLL,9,0,2,2,100,0,0,0,0,0,0,0,0,0
LLL,0,0,3,3,20,0,0,0,0,0,0,0,0,0
LLL,1,0,3,3,30,0,0,0,0,0,0,0,0,0
LLL,2,0,3,3,75,0,0,0,0,0,0,0,0,0
LLL,3,0,3,3,100,0,0,0,0,0,0,0,0,0
LLL,4,0,3,3,90,0,0,0,0,0,0,0,0,0
LLL,5,0,3,3,100,0,0,0,0,0,0,0,0,0
LLL,6,0,3,3,100,0,0,0,0,0,0,0,0,0
LLL,7,0,3,3,100,0,0,0,0,0,0,0,0,0
LLL,8,0,3,3,100,0,0,0,0,0,0,0,0,0
LLL,9,0,3,3,100,0,0,0,0,0,0,0,0,0
LLL,0,0,4,4,80,0,0,0,0,0,0,0,0,0
LLL,1,0,4,4,80,0,0,0,0,0,0,0,0,0
LLL,2,0,4,4,80,0,0,0,0,0,0,0,0,0
LLL,3,0,4,4,70,0,0,0,0,0,0,0,0,0
LLL,4,0,4,4,50,0,0,0,0,0,0,0,0,0
LLL,5,0,4,4,100,0,0,0,0,0,0,0,0,0
LLL,6,0,4,4,100,0,0,0,0,0,0,0,0,0
LLL,7,0,4,4,100,0,0,0,0,0,0,0,0,0
LLL,8,0,4,4,100,0,0,0,0,0,0,0,0,0
LLL,9,0,4,4,100,0,0,0,0,0,0,0,0,0
LLL,0,0,5,5,60,0,0,0,0,0,0,0,0,0
LLL,1,0,5,5,95,0,0,0,0,0,0,0,0,0
LLL,2,0,5,5,100,0,0,0,0,0,0,0,0,0
LLL,3,0,5,5,95,0,0,0,0,0,0,0,0,0
LLL,4,0,5,5,30,0,0,0,0,0,0,0,0,0
LLL,5,0,5,5,70,0,0,0,0,0,0,0,0,0
LLL,6,0,5,5,100,0,0,0,0,0,0,0,0,0
LLL,7,0,5,5,100,0,0,0,0,0,0,0,0,0
LLL,8,0,5,5,100,0,0,0,0,0,0,0,0,0
LLL,9,0,5,5,100,0,0,0,0,0,0,0,0,0
LLL,0,0,6,6,20,0,0,0,0,0,0,0,0,0
LLL,1,0,6,6,100,0,0,0,0,0,0,0,0,0
LLL,2,0,6,6,100,0,0,0,0,0,0,0,0,0
LLL,3,0,6,6,100,0,0,0,0,0,0,0,0,0
LLL,4,0,6,6,80,0,0,0,0,0,0,0,0,0
LLL,5,0,6,6,10,0,0,0,0,0,0,0,0,0
LLL,6,0,6,6,100,0,0,0,0,0,0,0,0,0
LLL,7,0,6,6,100,0,0,0,0,0,0,0,0,0
LLL,8,0,6,6,100,0,0,0,0,0,0,0,0,0
LLL,9,0,6,6,100,0,0,0,0,0,0,0,0,0
LLL,0,0,7,7,70,0,0,0,0,0,0,0,0,0
LLL,1,0,7,7,60,0,0,0,0,0,0,0,0,0
LLL,2,0,7,7,100,0,0,0,0,0,0,0,0,0
LLL,3,0,7,7,100,0,0,0,0,0,0,0,0,0
LLL,4,0,7,7,100,0,0,0,0,0,0,0,0,0
LLL,5,0,7,7,20,0,0,0,0,0,0,0,0,0
LLL,6,0,7,7,30,0,0,0,0,0,0,0,0,0
LLL,7,0,7,7,40,0,0,0,0,0,0,0,0,0
LLL,8,0,7,7,100,0,0,0,0,0,0,0,0,0
LLL,9,0,7,7,100,0,0,0,0,0,0,0,0,0
LLL,0,0,8,8,100,0,0,0,0,0,0,0,0,0
LLL,1,0,8,8,75,0,0,0,0,0,0,0,0,0
LLL,2,0,8,8,60,0,0,0,0,0,0,0,0,0
LLL,3,0,8,8,90,0,0,0,0,0,0,0,0,0
LLL,4,0,8,8,30,0,0,0,0,0,0,0,0,0
LLL,5,0,8,8,80,0,0,0,0,0,0,0,0,0
LLL,6,0,8,8,30,1,1,0,0,1,0,1,2,0
LLL,7,0,8,8,30,0,0,0,0,0,0,0,0,0
