Section-07,Y orig,Xorig,Y,X,,Yplot,Xplot,,Dp-05,HHp-05,MSp-05,Up-05,Di-05,HHi-05,MSi-05,Ui-05,Krum-05,Rock-05,,Dp-07,HHp-07,MSp-07,Up-07,Di-07,HHi-07,MSi-07,Ui-07,Krum-07,Rock-07,Tp-07,,,Dp-14,HHp-14,MSp-14,Up-14,Di-14,HHi-14,MSi-14,Ui-14,Krum-14,Tp-14,,Section-15,local x-15,local y-15,yplot-15,xplot-15,,Krum-15,Dp-15,HHp-15,MSp-15,Up-15,Di-15,HHi-15,MSi-15,Ui-15,Rock-15,,,,Section-18,X,Y,Dp-18,HHp-18,MSp-18,Up-18,Di-18,HHi-18,MSi-18,Ui-18,,Tp-18
LLL,1,1,1,1,,1,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,9,0,1,1,,97.5,0,0,0,0,0,0,0,0,0,,,,LLL,0,0,0,0,0,0,0,0,0,0,,0
LLL,1,2,1,2,,2,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,8,0,2,1,,100,0,0,0,0,0,0,0,0,0,,,,LLL,0,1,0,0,0,0,0,0,0,0,,0
LLL,1,3,1,3,,3,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,7,0,3,1,,100,0,0,0,0,0,0,0,0,0,,,,LLL,0,2,0,0,0,0,0,0,0,0,,0
LLL,1,4,1,4,,4,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,6,0,4,1,,100,0,0,0,0,0,0,0,0,0,,,,LLL,0,3,0,0,0,0,0,0,0,0,,0
LLL,1,5,1,5,,5,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,5,0,5,1,,100,0,0,0,0,0,0,0,0,0,,,,LLL,0,4,0,0,0,0,0,0,0,0,,0
LLL,1,6,1,6,,6,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,4,0,6,1,,100,0,0,0,0,0,0,0,0,0,,,,LLL,0,5,0,0,0,0,0,0,0,0,,0
LLL,1,7,1,7,,7,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,3,0,7,1,,100,0,0,0,0,0,0,0,0,0,,,,LLL,0,6,0,0,1,0,0,0,1,0,,1
LLL,1,8,1,8,,8,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,2,0,8,1,,100,0,0,0,0,0,0,0,0,0,,,,LLL,0,7,0,0,0,0,0,0,0,0,,0
LLL,1,9,1,9,,9,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,1,0,9,1,,92.5,0,0,1,0,0,0,2,0,0,,,,LLL,0,8,0,0,0,0,0,0,0,0,,0
LLL,1,10,1,10,,10,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,2,0,0,0,3,0,0,48.75,0,2,,,0,0,0,0,0,0,0,0,100,0,,LLL,0,0,10,1,,67.5,0,1,1,0,0,1,1,0,0,,,,LLL,0,9,0,0,0,0,0,0,0,0,,0
